perturb_percent,perturb_time,controller,t_settle_after,ITAE,metric_M,rise_time,overshoot,settling_time_abs,rank_M,is_best
20,450,PID-GS,0.0,2166.4248161645783,0.2860535402289365,-40.56565656565655,1.7490028133450983,245.84848484848484,3.0,False
20,450,FF,510.0,2967.3667735263257,0.9359565508167661,-40.56565656565655,1.7490028133450983,960.0,5.0,False
20,450,PID-FF,0.0,2213.884080204573,0.29232003532906875,-40.56565656565655,4.43532830494608,245.84848484848484,4.0,False
20,450,PID-GS-FF,0.0,2031.076951939657,0.26818228273821587,-40.56565656565655,3.5158844319233715,245.84848484848484,1.0,True
20,450,PID,0.0,2089.2679785676387,0.2758657938632223,-40.56565656565655,2.5010032764959607,245.84848484848484,2.0,False
20,480,PID-GS,0.0,1934.835546324301,0.25547462051635267,-40.56565656565655,1.7490028133450983,245.84848484848484,3.0,False
20,480,FF,480.0,2114.389766294041,0.8473152127825553,-40.56565656565655,1.7490028133450983,960.0,5.0,False
20,480,PID-FF,0.0,1703.8715077582642,0.2249782559970642,-40.56565656565655,2.6906954526160747,245.84848484848484,1.0,True
20,480,PID-GS-FF,0.0,1710.3460071197674,0.2258331453289021,-40.56565656565655,2.132066706117994,245.84848484848484,2.0,False
20,480,PID,0.0,1949.1790866828887,0.2573685336899723,-40.56565656565655,1.7490028133450983,245.84848484848484,4.0,False
20,510,PID-GS,0.0,1386.5826248949927,0.1830836065538369,-40.56565656565655,1.7490028133450983,245.84848484848484,4.0,False
20,510,FF,0.0,1225.118512594079,0.16176397404271717,-40.56565656565655,1.948376752469228,245.84848484848484,1.0,True
20,510,PID-FF,0.0,1339.7083499822963,0.17689435309606882,-40.56565656565655,1.7490028133450983,245.84848484848484,3.0,False
20,510,PID-GS-FF,0.0,1284.8813536336982,0.169655026677439,-40.56565656565655,1.7490028133450983,245.84848484848484,2.0,False
20,510,PID,0.0,1448.3367423222726,0.19123758622669756,-40.56565656565655,1.7490028133450983,245.84848484848484,5.0,False
20,540,PID-GS,0.0,1051.9572055023066,0.13889985037007338,-40.56565656565655,1.7490028133450983,245.84848484848484,4.0,False
20,540,FF,0.0,1001.2812038689219,0.1322086190087466,-40.56565656565655,2.4906662794532277,245.84848484848484,2.0,False
20,540,PID-FF,0.0,1035.596629938624,0.13673960897823967,-40.56565656565655,1.7490028133450983,245.84848484848484,3.0,False
20,540,PID-GS-FF,0.0,990.7610183094341,0.13081953949825403,-40.56565656565655,1.7490028133450983,245.84848484848484,1.0,True
20,540,PID,0.0,1109.5351464578005,0.14650241000035436,-40.56565656565655,1.7490028133450983,245.84848484848484,5.0,False
30,360,PID-GS,354.55555555555554,5536.7362720640995,0.9400283505708391,-40.56565656565655,8.716663755631126,714.5555555555555,1.0,True
30,360,FF,600.0,7923.925934723979,1.447301843479665,-40.56565656565655,1.545813544169075,960.0,3.0,False
30,360,PID-FF,548.9191919191919,12900.975834976623,1.933566320226959,-40.56565656565655,13.911676845889447,908.9191919191919,5.0,False
30,360,PID-GS-FF,421.5656565656566,7670.73844186303,1.232682050875087,-40.56565656565655,10.37584085951488,781.5656565656566,2.0,False
30,360,PID,513.10101010101,11369.846015895233,1.7277497341573984,-40.56565656565655,12.88231370805957,873.10101010101,4.0,False
30,390,PID-GS,354.6363636363636,5313.260655803848,0.9173543976809431,-40.56565656565655,8.359214485553569,744.6363636363636,1.0,True
30,390,FF,570.0,4392.865390988799,1.1130752776435655,-40.56565656565655,1.7058210796637452,960.0,2.0,False
30,390,PID-FF,544.959595959596,11969.548785378494,1.822848770419831,-40.56565656565655,13.366773092080365,934.959595959596,5.0,False
30,390,PID-GS-FF,430.5454545454545,7753.429452752014,1.2501986046656486,-40.56565656565655,10.21898938157935,820.5454545454545,3.0,False
30,390,PID,502.3737373737374,10347.746557073564,1.6024540251538608,-40.56565656565655,12.159841316451185,892.3737373737374,4.0,False
30,420,PID-GS,350.1414141414141,5219.2512226257595,0.9030373599932335,-40.56565656565655,8.430188209194664,770.1414141414141,1.0,True
30,420,FF,540.0,3211.0080374540075,0.9948662295295237,-40.56565656565655,1.7479355024515142,960.0,2.0,False
30,420,PID-FF,535.2828282828283,11121.655760235735,1.7182533658137769,-40.56565656565655,13.313771346340996,955.2828282828283,5.0,False
30,420,PID-GS-FF,426.1717171717172,7479.967263395099,1.2165362728817997,-40.56565656565655,10.306997634055724,846.1717171717172,3.0,False
30,420,PID,491.5656565656566,9619.09930510316,1.5114128474779454,-40.56565656565655,12.076698549868805,911.5656565656566,4.0,False
30,450,PID-GS,290.72727272727275,3725.418328452797,0.6904723438144421,-40.56565656565655,6.923442243735456,740.7272727272727,2.0,False
30,450,FF,0.0,1697.4915627245118,0.22413585156661558,-40.56565656565655,1.7490028133450983,245.84848484848484,1.0,True
30,450,PID-FF,497.86868686868684,9119.213431197302,1.4623213522356728,-40.56565656565655,11.929951723658775,947.8686868686868,5.0,False
30,450,PID-GS-FF,394.07070707070704,6177.959763470278,1.047276714596955,-40.56565656565655,9.203635919145741,844.070707070707,3.0,False
30,450,PID,439.4040404040404,7417.066669422886,1.2228815917361482,-40.56565656565655,10.353259894040852,889.4040404040404,4.0,False
30,480,PID-GS,202.77777777777783,2434.8224276737383,0.46645092413018685,-40.56565656565655,5.622694956697673,682.7777777777778,2.0,False
30,480,FF,0.0,1286.2528901056905,0.16983612359824565,-40.56565656565655,1.9548327331350983,245.84848484848484,1.0,True
30,480,PID-FF,446.81818181818187,7292.589265412727,1.2172790266755646,-40.56565656565655,10.8103177006776,926.8181818181819,5.0,False
